symbol,date,netProfitMargin,grossProfitMargin,operatingProfitMargin,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
MMM,2024-12-31,0.1698067141403865,0.4121261444557477,0.1962156663275686,3m Co W/d,Industrials,Conglomerates,"92,000",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High
MMM,2023-12-31,-0.2140387381047091,0.4346256234509348,-0.2793060187876748,3m Co W/d,Industrials,Conglomerates,"92,000",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High
MMM,2022-12-31,0.1687750153378714,0.4381372520377458,0.1910368401063426,3m Co W/d,Industrials,Conglomerates,"92,000",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High
MMM,2021-12-31,0.1674727761278461,0.4683920237590157,0.1542638947815019,3m Co W/d,Industrials,Conglomerates,"92,000",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High
MMM,2020-12-31,0.1693077305493412,0.4840604026845637,0.1389510315684812,3m Co W/d,Industrials,Conglomerates,"92,000",34.0,12.3,7.7,13.6,Significant,3.0,75th percentile,High
AOS,2024-12-31,0.1397553757104319,0.3813676959744375,0.1877373562766821,Smith (a.O.) Corp,Industrials,Specialty Industrial Machinery,"12,000",25.0,7.0,6.0,12.0,,0.0,47th percentile,
AOS,2023-12-31,0.1444663621262458,0.3853820598006645,0.1965843023255813,Smith (a.O.) Corp,Industrials,Specialty Industrial Machinery,"12,000",25.0,7.0,6.0,12.0,,0.0,47th percentile,
AOS,2022-12-31,0.062788033778204,0.3541916406936786,0.062095420762407,Smith (a.O.) Corp,Industrials,Specialty Industrial Machinery,"12,000",25.0,7.0,6.0,12.0,,0.0,47th percentile,
AOS,2021-12-31,0.137641640057645,0.3704258385373986,0.1779931617169176,Smith (a.O.) Corp,Industrials,Specialty Industrial Machinery,"12,000",25.0,7.0,6.0,12.0,,0.0,47th percentile,
AOS,2020-12-31,0.1191240976755431,0.3827582633923945,0.1584982557938728,Smith (a.O.) Corp,Industrials,Specialty Industrial Machinery,"12,000",25.0,7.0,6.0,12.0,,0.0,47th percentile,
ABT,2024-12-31,0.3194755661501788,0.554088200238379,0.1626936829558999,Abbott Laboratories,Healthcare,Medical Devices,"115,000",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium
ABT,2023-12-31,0.1426861801590665,0.5518462190530804,0.1615098855618439,Abbott Laboratories,Healthcare,Medical Devices,"115,000",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium
ABT,2022-12-31,0.1588206996082743,0.5614963461846838,0.1915561358898586,Abbott Laboratories,Healthcare,Medical Devices,"115,000",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium
